code,purchase_date,refund_date,reason,feedback
65F8HZLH3,2023-06-22 01:18:46.134946+00:00,2023-06-27 16:26:58.184109+00:00,Other,No reason provided.
4UURCJL15,2023-06-19 15:51:25.016040+00:00,2023-06-27 04:59:34.046725+00:00,Product didn't meet expectations,Would require too much effort
32F5EV586,2023-06-15 15:28:31.533624+00:00,2023-06-27 02:21:42.512138+00:00,Product didn't meet expectations,"""Even though the product was very appealing to me, later on I found that it does not have an SSL certificate installed on their server to match our subdomain CNAME record. The founder has indicated additional monthly payment for this basic requirement and I am not comfortable with it. Furthermore, the product also does not have the entire range of visualizations and charts that go with modern dashboarding applications. The founders have promised adding up features in times to come, but my immediate needs hold me from continuing to use this product."""
73D3EL9AS,2023-06-23 04:02:14.794403+00:00,2023-06-24 23:51:53.486859+00:00,Product didn't meet expectations,It did not work for what I wanted
Y82P2360M,2023-06-23 04:02:14.773729+00:00,2023-06-24 23:51:33.306857+00:00,Product didn't meet expectations,It did not work for what I wanted
OOG7WYAR1,2023-06-23 04:02:14.752839+00:00,2023-06-24 23:51:13.755442+00:00,Product didn't meet expectations,It did not work for what I wanted
2H587W59I,2023-06-23 04:02:14.723213+00:00,2023-06-24 23:50:53.503231+00:00,Product didn't meet expectations,It did not work for what I wanted
HSG2UTIG3,2023-04-25 14:48:21.646419+00:00,2023-06-23 03:06:49.810754+00:00,Other,None given
MMKQRHBK7,2023-06-13 13:35:10.378710+00:00,2023-06-23 02:21:32.631178+00:00,Other,None given
LJ8UBDXBT,2023-04-24 17:57:21.453591+00:00,2023-06-22 20:29:47.592448+00:00,Product didn't meet expectations,It was buggy
6ZIH30LYJ,2023-06-22 11:57:48.283433+00:00,2023-06-22 12:49:24.212206+00:00,Product didn't meet expectations,NOT really working
919BCXG5K,2023-05-29 03:09:29.590455+00:00,2023-06-21 12:10:54.056062+00:00,Product didn't meet expectations,Still very early stage
QLAQRNZRD,2023-05-01 15:48:29.285440+00:00,2023-06-20 20:44:45.721068+00:00,Product didn't meet expectations,Too complicated for what it was
